playerID,playerName,position,classification,teamID
1, Kyle McCord, QB, JR, 1
2, TreVeyon Henderson, RB, JR, 1
3, Marvin Harrison Jr., WR, JR, 1
4, Emeka Egbuka, WR, JR, 1
5, Carnell Tate, WR, FR, 1
6, Cade Stover, TE, SR, 1
7, Donovan Smith, QB, JR, 2
8, Parker Jenkins, RB, FR, 2
9, Matthew Golden, WR, SO, 2
10, Samuel Brown, WR, SO, 2
11, Joseph Manjack IV, WR, SO, 2
12, Mike O’Laughlin, TE, SR, 2
13, Carson Beck, QB, JR, 3
14, Kendall Milton, RB, SR, 3
15, Dominic Lovett, WR, JR, 3
16, Ladd McConkey, WR, JR, 3
17, Arian Smith, WR, JR, 3
18, Brock Bowers, TE, JR, 3
19, Jayden Daniels, QB, SR, 4
20, Logan Diggs, RB, JR, 4
21, Malik Nabers, WR, JR, 4
22, Brian Thomas Jr., WR, JR, 4
23, Kyren Lacy, WR, SR, 4
24, Mason Taylor, TE, SO, 4
25, Joe Milton III, QB, SR, 5
26, Dylan Sampson, RB, SO, 5
27, Squirrel White, WR, SO, 5
28, Ramel Keyton, WR, SR, 5
29, Dont'e Thornton Jr., WR, JR, 5
30, McCallan Castles, TE, SR, 5
